Flag,Name,Addresses,MAC,Type,Maps,Services Down,Notes
up,ECO -  San Carlos E11505,"10.10.15.76, 45.185.240.57",,,CLIENTES CON EXTERNOS,,
down,ECO - Soco La Unica,10.10.15.78,,,CLIENTES CON EXTERNOS,ping,
down,Hiscomex - Nogales,10.10.15.80,,,CLIENTES CON EXTERNOS,ping,
down,IG Networks,10.10.15.82,,,CLIENTES CON EXTERNOS,ping,
down,COBACH - Camelu (CANCELADO),10.10.30.12,,,CLIENTES CON EXTERNOS,ping,
down,COBACH - Colonet (CANCELADO),10.10.30.14,,,CLIENTES CON EXTERNOS,ping,
up,FIBRA - ALFAREROS,201.174.109.62,DC:2C:6E:7A:D7:18,MikroTik,CARRIERS PRINCIPALES,,
up,FIBRA - ROBLEDO,201.174.74.194,C4:AD:34:6A:53:25,MikroTik,CARRIERS PRINCIPALES,,
up,FIBRA - SATURNO,201.174.15.66,78:9A:18:F2:C4:EF,MikroTik,CARRIERS PRINCIPALES,,
up,FIBRA - OTAY,201.174.66.90,,MikroTik,CARRIERS PRINCIPALES,,
up,FIBRA - ROSARITO,201.174.12.115,74:4D:28:A6:55:31,MikroTik,CARRIERS PRINCIPALES,,
up,FIBRA - VALLARTA,201.174.133.218,08:55:31:EB:33:4E,MikroTik,CARRIERS PRINCIPALES,,
up,WISP - RED_Tecate Armando Mendoza,201.174.165.130,78:9A:18:A1:7F:06,MikroTik,CARRIERS PRINCIPALES,,
up,FIBRA - TOTALGAS,201.174.170.234,18:FD:74:03:CF:CA,MikroTik,CARRIERS PRINCIPALES,,
down,FIBRA - CYRO ESMERALDA,201.174.232.116,,MikroTik,CARRIERS PRINCIPALES,ping,
up,FIBRA - VIGO,201.174.58.46,,MikroTik,CARRIERS PRINCIPALES,,
up,FIBRA - EL ROBLE,187.249.0.238,D4:01:C3:6B:75:DC,MikroTik,CARRIERS PRINCIPALES,,
up,Monitoreo de Luz - TKT1,10.120.3.253,UbiquitiNe:CE:C7:D8,Monitoreo de Luz,MONITOREOS DE LUZ,,
down,Cecyte - La Mision,10.10.15.108,,,STARLINK,ping,
up,Benjamin Hill,10.10.12.50,,,STARLINK,,
up,Alestra - Fussion,10.102.3.254,18:FD:74:0D:A7:D3,MikroTik,CARRIERS PRINCIPALES,,
up,Alestra - Lan2Lan Alfareros/Otay,10.100.100.1,"74:4D:28:19:B7:6A, 74:4D:28:86:22:52",MikroTik,CARRIERS PRINCIPALES,,
up,Alestra - Alamitos,201.140.165.10,,MikroTik,CARRIERS PRINCIPALES,,
up,OTAY,10.101.3.254,02:23:20:D0:D7:E0,MikroTik,DIAGRAMA DE RED,,
up,FUSSION,10.102.3.254,18:FD:74:0D:A7:D3,MikroTik,DIAGRAMA DE RED,,
up,PACIFICO,10.103.3.254,Routerboar:5C:A6:26,MikroTik,DIAGRAMA DE RED,,
up,CERRO BOLA,10.105.3.254,74:4D:28:37:46:D8,MikroTik,DIAGRAMA DE RED,,
up,CERRO COLORADO,10.106.3.254,Routerboar:3C:2E:C7,MikroTik,DIAGRAMA DE RED,,
up,CUCHILLAS,10.107.3.254,Routerboar:7A:E6:E9,MikroTik,DIAGRAMA DE RED,,
up,ROSARITO,10.108.4.254,"XEROXCORPO:00:06:00, 74:4D:28:A6:55:2D",MikroTik,DIAGRAMA DE RED,,
up,VALLARTA,10.109.3.254,08:55:31:EB:33:52,MikroTik,DIAGRAMA DE RED,,
up,VILLA DEL CAMPO,10.122.4.250,Routerboar:FF:69:E8,MikroTik,DIAGRAMA DE RED,,
up,COLINAS,10.106.4.27,Routerboar:5D:23:A4,MikroTik,DIAGRAMA DE RED,,
up,OAXACA,10.113.3.254,02:23:20:D0:D7:E0,MikroTik,DIAGRAMA DE RED,,
up,MACLOVIO,10.115.4.250,74:4D:28:2F:5E:54,MikroTik,DIAGRAMA DE RED,,
up,CUAUHTEMOC,10.118.3.254,08:55:31:EB:2D:CC,MikroTik,DIAGRAMA DE RED,,
up,PLAYAS,10.119.3.254,Routerboar:EF:1F:B7,MikroTik,DIAGRAMA DE RED,,
up,TECATE 1,10.120.4.253,CC:2D:E0:13:78:D6,MikroTik,DIAGRAMA DE RED,,
up,TECATE 3,10.122.4.2,Routerboar:5C:A6:BF,MikroTik,DIAGRAMA DE RED,,
up,COSMOPOLITAN,10.123.3.254,Routerboar:31:FF:F9,MikroTik,DIAGRAMA DE RED,,
up,PUNTA BANDA,10.128.3.254,Routerboar:4E:A6:F6,MikroTik,DIAGRAMA DE RED,,
up,CERRO VIEJO,10.129.3.254,Routerboar:F4:EC:32,MikroTik,DIAGRAMA DE RED,,
up,VALLE DE GUADALUPE,10.130.3.254,Routerboar:4E:A6:EB,MikroTik,DIAGRAMA DE RED,,
up,NATURA,10.106.4.253,08:55:31:C7:7D:12,MikroTik,DIAGRAMA DE RED,,
up,EL ROBLE,10.133.3.254,D4:01:C3:6B:75:DA,MikroTik,DIAGRAMA DE RED,,
up,AURA,187.249.0.190,Routerboar:31:FF:5D,MikroTik,DIAGRAMA DE RED,,
up,PUERTA TRAMPA,10.105.4.8,B8:69:F4:6A:63:90,MikroTik,DIAGRAMA DE RED,,
up,CERRO AZUL 1,10.105.4.188,CC:2D:E0:0A:B1:D8,MikroTik,DIAGRAMA DE RED,,
up,ROSARITO 2,10.124.3.254,DC:2C:6E:AB:F5:B6,MikroTik,DIAGRAMA DE RED,,
up,CALAFIA,10.108.4.24,74:4D:28:6A:C3:58,MikroTik,DIAGRAMA DE RED,,
up,SAN DIEGO,10.140.3.254,02:FB:2B:55:B5:4B,MikroTik,DIAGRAMA DE RED,,
up,LOS ANGELES,"107.150.186.126, 107.150.186.122",,MikroTik,DIAGRAMA DE RED,,
up,ACUEDUCTOS,10.101.4.220,C4:AD:34:D9:D1:AA,MikroTik,DIAGRAMA DE RED,,
up,Monitoreo de Luz - Calafia,10.108.3.248,UbiquitiNe:08:B9:54,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Maquinaria Frontera - RH,201.174.63.66,Routerboar:B9:A0:61,,CLIENTES FIBRA,,
up,Proveedora del Estado - Mexicali,143.202.78.49,B8:69:F4:2B:0C:64,,CLIENTES FIBRA,,
up,CECYTE OFICINA,10.3.4.150,Routerboar:01:48:EE,,CLIENTES FIBRA,,
up,Junta De Urbanizacion - Mexicali,10.3.4.26,48:A9:8A:18:D8:16,,CLIENTES FIBRA,,
up,LINKTECH + FISCALIA EDIFICIO DEFENSORIA (SUSPENDIDO),189.201.243.99,48:A9:8A:16:E6:DA,,CLIENTES FIBRA,,
up,PEP (FESC),10.3.4.14,CC:2D:E0:A7:FC:2A,,CLIENTES FIBRA,,
up,Escorpio Secretaria de Seguridad Ciudadana,10.3.4.23,C4:AD:34:33:DE:E5,,CLIENTES FIBRA,,
down,Defensoria Publica MXL FIBRA,201.174.63.90,48:A9:8A:18:D8:01,,CLIENTES FIBRA,ping,
up,Global Mechanical,10.2.4.32,48:A9:8A:16:E7:1C,,CLIENTES FIBRA,,
up,Site Promocall,143.202.77.145,Routerboar:E1:20:82,,CLIENTES FIBRA,,
up,Magnaflow - Valle Bonito,10.133.4.2,DC:2C:6E:39:0B:6D,,CLIENTES FIBRA,,
up,Aries Corporativo,10.118.100.2,Routerboar:6E:03:3D,,CLIENTES FIBRA,,
up,Hotel Rosarito,10.108.4.7,"XEROXCORPO:00:06:00, 48:A9:8A:D4:6D:08",,CLIENTES FIBRA,,
down,Rendilitros Cuarteles C4 - Monitoreo(SUSPENDIDO),10.10.15.84,,,CLIENTES FIBRA,ping,
down,STA - Aeronautica,172.30.2.12,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Electrolux,172.30.2.1,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Permuta,172.30.2.2,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Lopez Mateos,172.30.2.3,XEROXCORPO:00:06:00,,Total Gas,ping,
up,Router - Custodias,"10.10.15.160, 172.30.3.5",XEROXCORPO:00:06:00,,Total Gas,,
down,STA - Puerto de Palos,172.30.2.6,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Aztecas,172.30.2.7,XEROXCORPO:00:06:00,,Total Gas,ping,
down,Router - Lerdo,172.30.3.8,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Miguel de la Madrid,172.30.2.9,00:B5:20:08:20:23,,Total Gas,ping,
down,STA - Misiones,172.30.2.11,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Municipio Libre,172.30.2.13,XEROXCORPO:00:06:00,,Total Gas,ping,
unknown,STA - Plutarco,172.30.2.14,XEROXCORPO:00:06:00,,Total Gas,,
down,Router - Plutarco,"10.10.15.146, 172.30.3.14",XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Tecnologico,172.30.2.15,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Gemela Chica,172.30.2.16,XEROXCORPO:00:06:00,,Total Gas,ping,
up,Router - VillaAhumada,"10.10.15.56, 109.111.36.63",XEROXCORPO:00:06:00,,Total Gas,,
up,Router - El Castaño,10.10.15.70,Routerboar:6E:03:C6,,Total Gas,,
down,STA - Ejercito,172.30.2.22,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Satelite,172.30.2.23,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Santiago,172.30.2.24,XEROXCORPO:00:06:00,,Total Gas,ping,
up,ECO - Santa Ana,10.10.15.28,,,CLIENTES CON EXTERNOS,,
down,Monitoreo de Luz - Benajmin Hill 1,10.90.3.253,XEROXCORPO:00:06:00,Monitoreo de Luz,MONITOREOS DE LUZ,ping,
down,AP - Santiago,172.30.1.9,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Jarudo,172.30.2.25,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Paseo del Triunfo,172.30.2.33,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Clara,172.30.2.27,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Hermanos Escobar,172.30.2.40,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Solis,172.30.2.26,XEROXCORPO:00:06:00,,Total Gas,ping,
down,STA - Casa David,172.30.2.37,24:5A:4C:DE:31:3E,,Total Gas,ping,
down,STA - KM30,172.30.2.36,XEROXCORPO:00:06:00,,Total Gas,ping,
up,Hospital de Mascotas - Via Rapida,189.201.240.116,18:FD:74:88:BD:AF,,Hospital de Mascotas,,
up,HDM - Ensenada,143.202.77.108,18:FD:74:CB:37:B1,,Hospital de Mascotas,,
up,HDM - Gabilondo,189.201.241.181,48:A9:8A:18:D7:7F,,Hospital de Mascotas,,
up,La Moderna - FibraPrincipal,189.201.243.74,78:9A:18:A4:08:A4,,CLIENTES FIBRA,,
down,PSN TELEVISORA(SUSPENDIDO),10.118.4.40,XEROXCORPO:00:06:00,,CLIENTES FIBRA,ping,
down,PSN CASA DE SEGURIDAD(SUSPENDIDO),10.118.4.40,XEROXCORPO:00:06:00,,CLIENTES FIBRA,ping,
up,Grupo ECO - Enercard,201.174.76.134,48:8F:5A:F0:05:29,,Grupo ECO,,
down,AP - Convergia + G-Global_Corporativo Tijuana,10.101.2.65,MimosaNetw:F0:8D:E6,,Convergia,ping,
down,STA - Convergia + Global_Corporativo Tijuana,10.101.2.66,MimosaNetw:F0:80:82,,Convergia,ping,
up,AP - Convergia + G-Global_Bodega3PL Otay,10.106.2.201,MimosaNetw:23:94:3B,,Convergia,,
up,AP - Convergia + G-Global_Bodega3PL Otay,10.106.2.202,MimosaNetw:23:92:0B,,Convergia,,
up,Router - Convergia + G-Global_Bodega3PL Otay,10.106.4.2,74:4D:28:AB:56:A0,,Convergia,,
up,AP - Convergia + G-Global Calexico,10.2.2.43,MimosaNetw:24:E1:22,,Convergia,,
up,STA - Convergia + G-Global Calexico,10.2.2.44,XEROXCORPO:00:06:00,,Convergia,,
up,Router - Convergia + G-Global Calexico,10.2.4.34,DC:2C:6E:FE:27:26,,Convergia,,
up,AP - Convergia + G-Global SanDiego Omega,10.101.2.141,MimosaNetw:1A:9B:F4,,Convergia,,
up,STA - Convergia + G-Global SanDiego Omega,10.101.2.141,MimosaNetw:1A:9B:F4,,Convergia,,
up,AP - Convergia + G-Global SanDiego Alfa,10.101.2.153,MimosaNetw:24:7D:32,,Convergia,,
up,STA - Convergia + G-Global SanDiego Alfa,10.101.2.154,MimosaNetw:24:7D:96,,Convergia,,
up,Router - Convergia + G-Global SanDiego Alfa,10.101.4.26,2C:C8:1B:59:46:E2,,Convergia,,
up,Convergia + G-Global Terrazas del Valle,10.106.4.21,08:55:31:9D:56:07,,Convergia,,
up,Convergia + G-Global Tecatito,10.120.4.5,Routerboar:B9:9E:5F,,Convergia,,
up,Router - Convergia + G-Global Corporativo F.O.,10.101.4.25,48:A9:8A:92:F1:79,,Convergia,,
down,Router - Picachos,10.10.15.88,XEROXCORPO:00:06:00,,Total Gas,ping,
up,Router - Independencia(Aguascalientes),"10.10.15.90, 200.76.161.50",XEROXCORPO:00:06:00,,Total Gas,,
up,Router - Ventanas,10.10.15.92,XEROXCORPO:00:06:00,,Total Gas,,
up,Convergia Corporativo,10.101.4.25,48:A9:8A:92:F1:79,,CLIENTES FIBRA,,
up,AP - El Hongo,10.105.2.41,MimosaNetw:20:12:C3,,Cereso El Hongo,,
up,STA - El Hongo,10.105.2.42,MimosaNetw:1B:93:B7,,Cereso El Hongo,,
up,AP - El Hongo 2,10.105.2.57,MimosaNetw:F8:BA:14,,Cereso El Hongo,,
up,Router - El Hongo,10.105.2.45,2C:C8:1B:5A:DB:C1,,Cereso El Hongo,,
up,STA - El Hongo 2,10.105.2.58,MimosaNetw:F8:B9:CD,,Cereso El Hongo,,
up,Router - El Hongo 2,10.105.2.59,2C:C8:1B:5A:D0:0A,,Cereso El Hongo,,
